Ireland,IRL,CO2 emissions (kt),EN.ATM.CO2E.KT,35550
"Iran, Islamic Rep.",IRN,CO2 emissions (kt),EN.ATM.CO2E.KT,610670
Iraq,IRQ,CO2 emissions (kt),EN.ATM.CO2E.KT,168840
Iceland,ISL,CO2 emissions (kt),EN.ATM.CO2E.KT,2050
Israel,ISR,CO2 emissions (kt),EN.ATM.CO2E.KT,64710
Italy,ITA,CO2 emissions (kt),EN.ATM.CO2E.KT,327490
Jamaica,JAM,CO2 emissions (kt),EN.ATM.CO2E.KT,7400
Jordan,JOR,CO2 emissions (kt),EN.ATM.CO2E.KT,25590
Japan,JPN,CO2 emissions (kt),EN.ATM.CO2E.KT,1219820
Kazakhstan,KAZ,CO2 emissions (kt),EN.ATM.CO2E.KT,205230
Kenya,KEN,CO2 emissions (kt),EN.ATM.CO2E.KT,15030
Kyrgyz Republic,KGZ,CO2 emissions (kt),EN.ATM.CO2E.KT,9710
Cambodia,KHM,CO2 emissions (kt),EN.ATM.CO2E.KT,6630
Kiribati,KIR,CO2 emissions (kt),EN.ATM.CO2E.KT,60
St. Kitts and Nevis,KNA,CO2 emissions (kt),EN.ATM.CO2E.KT,230
"Korea, Rep.",KOR,CO2 emissions (kt),EN.ATM.CO2E.KT,586000
Kuwait,KWT,CO2 emissions (kt),EN.ATM.CO2E.KT,83580
Latin America & Caribbean (excluding high income),LAC,CO2 emissions (kt),EN.ATM.CO2E.KT,1463440
Lao PDR,LAO,CO2 emissions (kt),EN.ATM.CO2E.KT,4420
Lebanon,LBN,CO2 emissions (kt),EN.ATM.CO2E.KT,24940
Liberia,LBR,CO2 emissions (kt),EN.ATM.CO2E.KT,1220
Libya,LBY,CO2 emissions (kt),EN.ATM.CO2E.KT,59700
St. Lucia,LCA,CO2 emissions (kt),EN.ATM.CO2E.KT,360
Latin America & Caribbean,LCN,CO2 emissions (kt),EN.ATM.CO2E.KT,1790321.349
Least developed countries: UN classification,LDC,CO2 emissions (kt),EN.ATM.CO2E.KT,277684.8239
Low income,LIC,CO2 emissions (kt),EN.ATM.CO2E.KT,163116.8819
Liechtenstein,LIE,CO2 emissions (kt),EN.ATM.CO2E.KT,160
Sri Lanka,LKA,CO2 emissions (kt),EN.ATM.CO2E.KT,17600
Lower middle income,LMC,CO2 emissions (kt),EN.ATM.CO2E.KT,4913355.869
Low & middle income,LMY,CO2 emissions (kt),EN.ATM.CO2E.KT,20175506.67
Lesotho,LSO,CO2 emissions (kt),EN.ATM.CO2E.KT,2310
